username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WomenWorldNews1;2015-12-30 18:59;0;0;"#GlobalWarming #Tcot Thousands suffer nose bleeds and vomiting during 'Worst environmental ... http:// bit.ly/1P0DkWO #UniteBlue #CC :-(";;;#GlobalWarming #Tcot #UniteBlue #CC;"682350382916452352";https://twitter.com/WomenWorldNews1/status/682350382916452352
SevenLokas;2015-12-30 18:59;0;0;"Apparently it's a thing ( vomiting while lifting excessively heavy weight). I won't bother posting links to video demonstrations on YouTube.";;;;"682350249768292354";https://twitter.com/SevenLokas/status/682350249768292354
DAIROCKETTO;2015-12-30 18:57;0;1;"@HatokTalk @chaffXgrenade well, then I'd be vomiting instead of just cringing so that's like an upgrade";;@HatokTalk @chaffXgrenade;;"682349875997052929";https://twitter.com/DAIROCKETTO/status/682349875997052929
irweenie_beanie;2015-12-30 18:56;0;0;"keep my baby in your thoughts please, we just had to take him to the vet because he was vomiting blood pic.twitter.com/i6nsl1ZZ0b";;;;"682349492457218050";https://twitter.com/irweenie_beanie/status/682349492457218050
ChrisAdamTweets;2015-12-30 18:55;0;0;"Hey, Hollywood: There&#8217;s way too much vomiting on movie screens http:// on.mash.to/1NWahnf";;;#8217;"682349260168273920";https://twitter.com/ChrisAdamTweets/status/682349260168273920
SevenLokas;2015-12-30 18:54;0;0;"How heavy was it ... felt like vomiting after last set. May be due to eating too much just before heading to the gym. Lesson learned :(";;;;"682348994308247554";https://twitter.com/SevenLokas/status/682348994308247554
UKRaider164;2015-12-30 18:51;0;0;"@Nicksb36 @AndreasLeKirk I did briefly. In between laughing and vomiting . #Leftards";;@Nicksb36 @AndreasLeKirk;#Leftards;"682348242089172992";https://twitter.com/UKRaider164/status/682348242089172992
ClickWhisperer;2015-12-30 18:50;0;0;"Hey, Hollywood: There's way too much vomiting on movie screens http:// feeds.mashable.com/~r/Mashable/~3 /ALoiElIiWqM/ …";;;;"682347955068665856";https://twitter.com/ClickWhisperer/status/682347955068665856
vomiting_m;2015-12-30 18:49;0;0;"ﾊｧｰ…ﾊｧｰ…、落ち着いた、か…？";;;;"682347889641717760";https://twitter.com/vomiting_m/status/682347889641717760
ShailajaMarion;2015-12-30 18:47;0;0;"* vomiting sounds* https:// twitter.com/TexasTribune/s tatus/682347098260389888 …";;;;"682347186571620353";https://twitter.com/ShailajaMarion/status/682347186571620353
The_Evil_Barbie;2015-12-30 18:46;0;1;"@SwearyParrot looks like a vomiting , pink, Venus fly trap";;@SwearyParrot;;"682347075258970113";https://twitter.com/The_Evil_Barbie/status/682347075258970113
theproductguy;2015-12-30 18:43;1;0;"Hey, Hollywood: There’s way too much vomiting on movie screens http:// tpg.li/1Oyi68p";;;;"682346393466486784";https://twitter.com/theproductguy/status/682346393466486784
Scarey605;2015-12-30 18:42;0;1;"Not being physically able to see Phil Taylor even win a leg without vomiting takes a lot of skill with the remote control #channelhopping";;;#channelhopping;"682345958080954369";https://twitter.com/Scarey605/status/682345958080954369
Gemeister_;2015-12-30 18:42;0;1;"@BollywoodSingh I watched it once, I couldn't stop vomiting . Challenge beaten";;@BollywoodSingh;;"682345957443399680";https://twitter.com/Gemeister_/status/682345957443399680
marketmobileapp;2015-12-30 18:41;0;0;"Hey, Hollywood: There&#8217;s way too much vomiting on movie screens: LOS ANGELES — There's a nasty virus goin... http:// on.mash.to/1mSjSEW";;;#8217;"682345912866181120";https://twitter.com/marketmobileapp/status/682345912866181120
NasieBella;2015-12-30 18:40;0;0;"Poor Red! Was up all night with her vomiting and this morning she was worse and still not… https://www. instagram.com/p/_70rW_wd4X/";;;;"682345515669917696";https://twitter.com/NasieBella/status/682345515669917696
emilielimaburke;2015-12-30 18:35;0;1;"@victoria_mjfh Not just sick. Dying of what may have evolved to the flu- vomiting and all. Ugh.";;@victoria_mjfh;;"682344364140552192";https://twitter.com/emilielimaburke/status/682344364140552192
urpregnancy;2015-12-30 18:35;0;0;"MashableHey, Hollywood: There's way too much vomiting on movie screensMashableBut do we need full frontal retching… http:// bit.ly/1OtmbEB";;;;"682344310402985984";https://twitter.com/urpregnancy/status/682344310402985984
purrapp;2015-12-30 18:35;0;0;"Learn how to treat a vomiting cat and find out why a cat vomits. http:// ow.ly/Wro58 pic.twitter.com/DDc0Cq6yOL";;;;"682344214076743680";https://twitter.com/purrapp/status/682344214076743680
AndreaNRuth;2015-12-30 18:32;0;0;"Fixed the title: Try to resist ( vomiting ) photos of President Obama designed to melt your cold heart https:// apple.news/ALgp0LNdVQLGQ2 7OngZPlOQ …";;;;"682343539418599424";https://twitter.com/AndreaNRuth/status/682343539418599424
lvndxv;2015-12-30 18:31;0;0;"@AskMen how convenient that I'm vomiting over this article, then!";;@AskMen;;"682343313840668673";https://twitter.com/lvndxv/status/682343313840668673
oumarkhalipha;2015-12-30 18:30;0;0;""A goat that eats public yam must not go without vomiting " - Buhari (2015)";;;;"682343053307281408";https://twitter.com/oumarkhalipha/status/682343053307281408
MichelleKenneth;2015-12-30 18:27;0;0;"Coughing+ vomiting at the same time = NyQuil at my desk and the realization I have to leave NOW before the sleepy part kicks in.";;;;"682342375465680896";https://twitter.com/MichelleKenneth/status/682342375465680896
Scream_Nataliee;2015-12-30 18:25;0;0;"I've been vomiting since the morning this ain't good";;;;"682341892885876737";https://twitter.com/Scream_Nataliee/status/682341892885876737
tittuck;2015-12-30 18:25;0;2;"Keep your kisses short if you want to avoid me probably vomiting on you";;;;"682341705576611840";https://twitter.com/tittuck/status/682341705576611840
vomiting_k;2015-12-30 18:24;0;0;"末光に最近付き合い悪いねって言われてしまった。ごめん、今食べ物見るだけで吐きそう。";;;;"682341472499150848";https://twitter.com/vomiting_k/status/682341472499150848
jas_ola;2015-12-30 18:19;0;0;"Somebody should help us asked that psychiatric patient about the money Dasuki is vomiting since he insisted that arm were bought by prev gov";;;;"682340224353972225";https://twitter.com/jas_ola/status/682340224353972225
LouEmo84;2015-12-30 18:16;0;0;"So the vomiting is back, yay(!) Best get back to normal on Friday, seeing Star Wars again! But at this rate, won't be watching anything!";;;;"682339495975387148";https://twitter.com/LouEmo84/status/682339495975387148
AlexGarlitos;2015-12-30 18:15;0;0;"Considering how many times I've stumbled in drunk, on the verge of vomiting , passing out,… https://www. instagram.com/p/_7xzQpgt0c/";;;;"682339184456011776";https://twitter.com/AlexGarlitos/status/682339184456011776
skinsxcth;2015-12-30 18:15;0;0;"I'm sick vomiting";;;;"682339138960400385";https://twitter.com/skinsxcth/status/682339138960400385
spaceandguns;2015-12-30 18:12;0;0;"Violent vomiting https:// twitter.com/GanXingba/stat us/682329708764205060 …";;;;"682338520220839936";https://twitter.com/spaceandguns/status/682338520220839936
NatasaZekanovic;2015-12-30 18:06;0;7;"I hope everyone can control their drinking tonight, seriously laters if I have to deal with vomiting nshit";;;;"682337080106561536";https://twitter.com/NatasaZekanovic/status/682337080106561536
WhippedDream;2015-12-30 18:05;0;0;"If I puke Imma be so pissed. But I'd much rather just puke than to feel nauseous an on the edge of vomiting .";;;;"682336855958794240";https://twitter.com/WhippedDream/status/682336855958794240
_spatch;2015-12-30 18:04;0;1;"I told the mac vomiting story Today. .......not that one the other one @jimbo5687 @thisamdave @Shuvlarse #park #fullpintvomit";;@jimbo5687 @thisamdave @Shuvlarse;#park #fullpintvomit;"682336480866390016";https://twitter.com/_spatch/status/682336480866390016
DrDamages;2015-12-30 18:04;6;3;"@GovAyoFayose , please come & save us. Please return our minds to what @MBuhari said not what @iam_Davido and @DeleMomodu are vomiting .";;@GovAyoFayose @MBuhari @iam_Davido @DeleMomodu;;"682336388683935748";https://twitter.com/DrDamages/status/682336388683935748
JobsCentral;2015-12-30 18:03;0;0;"#JobsCentral Hey, Hollywood: There’s way too much vomiting on movie screens: LOS ANGELE.. http:// budurl.com/JobsCentral http:// dld.bz/efGWZ";;;#JobsCentral;"682336254029991936";https://twitter.com/JobsCentral/status/682336254029991936
ToysAdventures;2015-12-30 18:01;0;0;"Watch Cooking and Vomiting with #Superman now on Plush #Toys Chaotic #Adventures http:// m.youtube.com/watch?v=NUqcDj r5qK8 …";;;#Superman #Toys #Adventures;"682335792937607168";https://twitter.com/ToysAdventures/status/682335792937607168
Tikigodiji;2015-12-30 18:01;0;0;"Spent the night vomiting . guess I'm still sick and feel like the poo. No stream tonight hopefully this will pass by tomorrow.";;;;"682335629611380736";https://twitter.com/Tikigodiji/status/682335629611380736
PattonVetHosp;2015-12-30 18:00;0;0;"Top 5 Ingestions That Never Require Induction of Vomiting (Taken from Clinicians Brief October 2015): 1)... http:// fb.me/7EI4XcQfX";;;;"682335364262920192";https://twitter.com/PattonVetHosp/status/682335364262920192
wesleysmorgan;2015-12-30 17:59;0;3;""We've gotta double down on re-looking at..." [too busy vomiting to finish reading quotation] pic.twitter.com/DmdnW43XIy";;;;"682335216057188353";https://twitter.com/wesleysmorgan/status/682335216057188353
heltranter;2015-12-30 17:58;0;1;"Dreamt Barley ate a whole macaw. Had to induce vomiting to get it out. It was damp and furious but bizarrely none the worse for its ordeal.";;;;"682335078664376321";https://twitter.com/heltranter/status/682335078664376321
Lisa_75marshall;2015-12-30 17:58;0;0;"Has anyone's kids had a bad stomach and vomiting and temperature";;;;"682334933021409280";https://twitter.com/Lisa_75marshall/status/682334933021409280
fafajooheon;2015-12-30 17:57;0;0;"https:// youtu.be/kBZVV8LRijQ y'all kindly watch this. I freaking die because of laughing. I love the vomiting noises. Taehyung shout at jungkook.";;;;"682334792902299656";https://twitter.com/fafajooheon/status/682334792902299656
jennisparks;2015-12-30 17:53;0;2;"So proud of myself for not vomiting or collapsing after travelling back to London/immediately going to Westfield with a brutal hangover";;;;"682333764140187648";https://twitter.com/jennisparks/status/682333764140187648
rtforshit;2015-12-30 17:50;1;1;"@dirtyboyuychich vomiting shit";;@dirtyboyuychich;;"682333039574171648";https://twitter.com/rtforshit/status/682333039574171648
vomiting_m;2015-12-30 17:49;0;0;"う…ぶっ…げぇ…っ";;;;"682332806907727872";https://twitter.com/vomiting_m/status/682332806907727872
